portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,20180801,AMP-USD,SELL,2021-11-23T11:53:00.475Z,275.00000000,AMP,0.07289,0.10022375,19.94452625,USD
default,20180802,AMP-USD,SELL,2021-11-23T11:53:00.475Z,1008.00000000,AMP,0.07267,0.3662568,72.8851032,USD
default,20180803,AMP-USD,SELL,2021-11-23T11:53:00.475Z,2000.00000000,AMP,0.07267,0.7267,144.6133,USD
default,20180804,AMP-USD,SELL,2021-11-23T11:53:00.475Z,46808.00000000,AMP,0.07266,17.0053464,3384.0639336,USD
default,20220086,AMP-USD,SELL,2021-11-23T12:26:00.635Z,22971.00000000,AMP,0.07185,8.25233175,1642.21401825,USD
default,20220087,AMP-USD,SELL,2021-11-23T12:26:00.690Z,27113.00000000,AMP,0.07185,9.74034525,1938.32870475,USD
default,20220088,AMP-USD,SELL,2021-11-23T12:26:00.700Z,7.00000000,AMP,0.07185,0.00251475,0.50043525,USD
default,21087925,LRC-USD,BUY,2021-12-17T13:28:45.712Z,12.13507900,LRC,2.0742,0.0629264521545,-25.2335073139545,USD
default,21087926,LRC-USD,BUY,2021-12-17T13:28:45.712Z,949.55818900,LRC,2.0745,4.92464615770125,-1974.78310923820125,USD
default,21908630,AMP-USD,BUY,2021-12-01T00:04:48.758Z,1159.00000000,AMP,0.06078,0.17611005,-70.62013005,USD
default,21908631,AMP-USD,BUY,2021-12-01T00:04:48.758Z,4115.00000000,AMP,0.06079,0.625377125,-250.776227125,USD
default,21908632,AMP-USD,BUY,2021-12-01T00:04:48.758Z,1159.00000000,AMP,0.06079,0.176139025,-70.631749025,USD
default,21908633,AMP-USD,BUY,2021-12-01T00:04:48.758Z,1159.00000000,AMP,0.0608,0.176168,-70.643368,USD
default,21908634,AMP-USD,BUY,2021-12-01T00:04:48.758Z,11309.00000000,AMP,0.0608,1.718968,-689.306168,USD
default,21908635,AMP-USD,BUY,2021-12-01T00:04:48.758Z,8229.00000000,AMP,0.06081,1.251013725,-501.656503725,USD
default,21908636,AMP-USD,BUY,2021-12-01T00:04:48.758Z,7746.00000000,AMP,0.06081,1.17758565,-472.21184565,USD
default,21908637,AMP-USD,BUY,2021-12-01T00:04:48.758Z,33496.00000000,AMP,0.06082,5.0930668,-2042.3197868,USD
default,21908638,AMP-USD,BUY,2021-12-01T00:04:48.758Z,6747.00000000,AMP,0.06082,1.02588135,-411.37842135,USD
default,21908639,AMP-USD,BUY,2021-12-01T00:04:48.758Z,14200.00000000,AMP,0.06086,2.16053,-866.37253,USD
default,21908640,AMP-USD,BUY,2021-12-01T00:04:48.758Z,181.00000000,AMP,0.06087,0.027543675,-11.045013675,USD
